pid1,no,pid2,id,distance
BV10013454,1,BV11494889,1
BV11494889,2,BV10813547,2
BV10813547,3,BV10813541,3
BV10813541,4,BV10813543,4
BV10813543,5,BV10813544,5
BV10813544,6,BV10813542,6
BV10813542,7,BV10813546,7
BV10000295,1,BV10013455,8
BV10013455,2,BV10000302,9
BV10000302,3,BV10013456,10
BV10013456,4,BV10013457,11
BV10013457,5,BV10013458,12
BV10013458,6,BV10000306,13
BV10000306,7,BV10000188,14
BV10000188,8,BV10013459,15
BV10013459,9,BV10000309,16
BV10000309,10,BV10007375,17
BV10007375,11,BV10006791,18
BV10006791,12,BV10005941,19
BV10005941,13,BV10006499,20
BV10006499,14,BV10006496,21
BV10006496,15,BV10013440,22
BV10013440,16,BV10013432,23
BV10013432,17,BV10013460,24
BV10013460,18,BV10013461,25
BV10013461,19,BV10013364,26
BV10013364,20,BV10000275,27
BV10000275,21,BV10007589,28
BV10007589,22,BV10013517,29
BV10013517,23,BV10013518,30
BV10013518,24,BV10013519,31
BV10013519,25,BV10004294,32
BV10004294,26,BV10001118,33
BV10001118,27,BV10004143,34
BV10004143,28,BV10004141,35
BV10004141,29,BV10001298,36
BV10001298,30,BV10002455,37
BV10002455,31,BV10013520,38
BV10013520,32,BV10004138,39
BV10004138,33,BV11253781,40
BV11253781,34,BV10850689,41
BV10013430,1,BV10013431,42
BV10013431,2,BV10001936,43
BV10001936,3,BV10006563,44
BV10006563,4,BV10002731,45
BV10002731,5,BV10001047,46
BV10001047,6,BV10004298,47
BV10004298,7,BV10013432,48
BV10013432,8,BV10006813,49
BV10006813,9,BV10013433,50
BV10013433,10,BV10005884,51
BV10005884,11,BV10013434,52
BV10013434,12,BV10013415,53
BV10013415,13,BV10013435,54
BV10013435,14,BV10007375,55
BV10007375,15,BV10001036,56
BV10001036,16,BV10013437,57
BV10013437,17,BV10001595,58
BV10003869,1,BV10013422,59
BV10013422,2,BV10010394,60
BV10010394,3,BV10000372,61
BV10000372,4,BV10002783,62
BV10002783,5,BV10013275,63
BV10013275,6,BV10013421,64
BV10013421,7,BV10013420,65
BV10013420,8,BV10013419,66
BV10013419,9,BV10000383,67
BV10000383,10,BV10013418,68
BV10013418,11,BV10008170,69
BV10008170,12,BV10013417,70
BV10013417,13,BV10009949,71
BV10009949,14,BV10006454,72
BV10006454,15,BV10013416,73
BV10013416,16,BV10013379,74
BV10013379,17,BV10013415,75
BV10013415,18,BV10006791,76
BV10006791,19,BV10008400,77
BV10008400,20,BV10013414,78
BV10013414,21,BV10013413,79
BV10013413,22,BV10013412,80
BV10013412,23,BV10001595,81
BV10001595,24,BV10006771,82
BV10006771,25,BV10000252,83
BV10000252,26,BV10000255,84
BV10000255,27,BV10000258,85
BV10000258,28,BV10013411,86
BV10013411,29,BV10013410,87
BV10013410,30,BV10013409,88
BV10013409,31,BV10013408,89
BV10013408,32,BV10000920,90
BV10000920,33,BV10013407,91
BV10013407,34,BV10013406,92
BV10000743,1,BV10013438,93
BV10013438,2,BV10006603,94
BV10006603,3,BV10013439,95
BV10013439,4,BV10013383,96
BV10013383,5,BV10013433,97
BV10013433,6,BV10013440,98
BV10013440,7,BV10013441,99
BV10013441,8,BV10013442,100
BV10013442,9,BV10001045,101
BV10001045,10,BV10013443,102
BV10013443,11,BV10006563,103
BV10006563,12,BV10006616,104
BV10006616,13,BV10001221,105
BV10001221,14,BV10005412,106
BV10005412,15,BV10006707,107
BV10006707,16,BV10013376,108
BV10013376,17,BV10013444,109
BV10013444,18,BV10004309,110
BV10004309,19,BV10000461,111
BV10000461,20,BV10013445,112
BV10013445,21,BV10013446,113
BV10013446,22,BV10013447,114
BV10416639,1,BV10416641,115
BV10416641,2,BV10416644,116
BV10416644,3,BV10416651,117
BV10416651,4,BV10416648,118
BV10416648,5,BV10416643,119
BV10416643,6,BV10416645,120
BV10416645,7,BV10006882,121
BV10006882,8,BV10006429,122
BV10006429,9,BV10013505,123
BV10013505,10,BV10013506,124
BV10013506,11,BV10013507,125
BV10013507,12,BV10000481,126
BV10000481,13,BV10008284,127
BV10008284,14,BV10013489,128
BV10013489,15,BV10000548,129
BV10000548,16,BV10004298,130
BV10004298,17,BV10013442,131
BV10013442,18,BV10013392,132
BV10013392,19,BV10013508,133
BV10013508,20,BV10013413,134
BV10013413,21,BV10013437,135
BV10013437,22,BV10000051,136
BV10000051,23,BV10000061,137
BV10000061,24,BV10013509,138
BV10013509,25,BV10013496,139
BV10013496,26,BV10013510,140
BV10013510,27,BV11103939,141
BV11103939,28,BV11103937,142
BV11103937,29,BV11103938,143
BV11103938,30,BV10827741,144
BV10827741,31,BV10013454,145
BV10013454,32,BV11494889,146
BV10850689,1,BV11253781,147
BV11253781,2,BV11303297,148
BV11303297,3,BV11303300,149
BV11303300,4,BV11303302,150
BV11303302,5,BV11303299,151
BV11303299,6,BV11303296,152
BV11303296,7,BV11303301,153
BV11303301,8,BV11303298,154
BV11303298,9,BV10013391,155
BV10013391,10,BV10416577,156
BV10416577,11,BV10007127,157
BV10007127,12,BV10013389,158
BV10013389,13,BV10013388,159
BV10013388,14,BV10013387,160
BV10013387,15,BV10000647,161
BV10000647,16,BV10013386,162
BV10013386,17,BV10006224,163
BV10006224,18,BV10013385,164
BV10013385,19,BV10013384,165
BV10013384,20,BV10006633,166
BV10006633,21,BV10013383,167
BV10013383,22,BV10396213,168
BV10396213,23,BV10013381,169
BV10013381,24,BV10013380,170
BV10013380,25,BV10013379,171
BV10013379,26,BV10396212,172
BV10396212,27,BV10005975,173
BV10005975,28,BV10006599,174
BV10006599,29,BV10000102,175
BV11640690,1,BV11640696,176
BV11640696,2,BV11640691,177
BV11640691,3,BV11640693,178
BV11640693,4,BV11640698,179
BV11640698,5,BV11640697,180
BV11640697,6,BV11640689,181
BV11640689,7,BV11640692,182
BV11640692,8,BV11640699,183
BV11640699,9,BV10013368,184
BV10013368,10,BV11640688,185
BV11640688,11,BV10013381,186
BV10013381,12,BV10005884,187
BV10005884,13,BV10006496,188
BV10006496,14,BV11640695,189
BV11640695,15,BV11095929,190
BV11095929,16,BV10013392,191
BV10013392,17,BV10013462,192
BV10013462,18,BV10013431,193
BV10013431,19,BV10013463,194
BV10013463,20,BV10013464,195
BV10013464,21,BV10013465,196
BV10013465,22,BV10013466,197
BV10013466,23,BV10013375,198
BV10013375,24,BV10009724,199
BV10009724,25,BV10013467,200
BV10013467,26,BV10000769,201
BV10000769,27,BV10013468,202
BV10013468,28,BV10013469,203
BV10013469,29,BV10007658,204
BV10007658,30,BV10004378,205
BV10004378,31,BV10000887,206
BV10000887,32,BV10013470,207
BV10013470,33,BV10000571,208
BV10007779,1,BV10013471,209
BV10013471,2,BV10013472,210
BV10013472,3,BV10013473,211
BV10013473,4,BV10013474,212
BV10013474,5,BV10000636,213
BV10000636,6,BV10013475,214
BV10013475,7,BV10000269,215
BV10000269,8,BV10000102,216
BV10000102,9,BV10000188,217
BV10000188,10,BV10013476,218
BV10013476,11,BV10000061,219
BV10000061,12,BV10000252,220
BV10013394,1,BV10013485,221
BV10013485,2,BV10013411,222
BV10013411,3,BV10001215,223
BV10001215,4,BV10001218,224
BV10001218,5,BV10013486,225
BV10013486,6,BV10000017,226
BV10000017,7,BV10004058,227
BV10004058,8,BV10013465,228
BV10013465,9,BV10013487,229
BV10013487,10,BV10005412,230
BV10005412,11,BV10006575,231
BV10006575,12,BV10013488,232
BV10013488,13,BV10000199,233
BV10000199,14,BV10000196,234
BV10000196,15,BV10001223,235
BV10001223,16,BV10011994,236
BV10011994,17,BV10013489,237
BV10013489,18,BV10013490,238
BV10013490,19,BV10013461,239
BV10013461,20,BV10013385,240
BV10013385,21,BV10007162,241
BV10007162,22,BV10000543,242
BV10000543,23,BV10013367,243
BV10013367,24,BV10007166,244
BV10007166,25,BV10013491,245
BV10013491,26,BV10000743,246
BV10000743,27,BV10013492,247
BV10013492,28,BV10000737,248
BV10000737,29,BV10013493,249
BV10013493,30,BV10013417,250
BV10013417,31,BV10000222,251
BV10000222,32,BV10006086,252
BV10006086,33,BV10013494,253
BV10013494,34,BV10013495,254
BV10013495,35,BV10003566,255
BV10003566,36,BV10000215,256
BV10000215,37,BV10013475,257
BV10013475,38,BV10002829,258
BV10002829,39,BV10000306,259
BV10000306,40,BV10002778,260
BV10002778,41,BV10013496,261
BV10013496,42,BV10012405,262
BV10012405,43,BV10007535,263
BV10007535,44,BV10007538,264
BV11494889,1,BV11494890,265
BV11494890,2,BV11494888,266
BV10001595,1,BV10001016,267
BV10001016,2,BV10001218,268
BV10001218,3,BV10006886,269
BV10006886,4,BV10013516,270
BV10013516,5,BV11467455,271
BV11467455,6,BV10007027,272
BV10007027,7,BV10013515,273
BV10013515,8,BV10013514,274
BV10013514,9,BV10007658,275
BV10007658,10,BV10000461,276
BV10000461,11,BV10000150,277
